| Model                         |   Microbatch size | FlashAttention   | Test   |   t/s hip-stream-concurrency |   t/s pr/mmvq-rdna4 |   Speedup |
|:------------------------------|------------------:|:-----------------|:-------|-----------------------------:|--------------------:|----------:|
| llama 7B IQ1_S - 1.5625 bpw   |                 1 | Yes              | pp512  |                       143.24 |              146.69 |      1.02 |
| llama 7B IQ1_S - 1.5625 bpw   |                 2 | Yes              | pp512  |                       241.50 |              241.46 |      1.00 |
| llama 7B IQ1_S - 1.5625 bpw   |                 4 | Yes              | pp512  |                       395.94 |              395.49 |      1.00 |
| llama 7B IQ1_S - 1.5625 bpw   |                 8 | Yes              | pp512  |                       515.88 |              516.78 |      1.00 |
| llama 7B IQ1_S - 1.5625 bpw   |                16 | Yes              | pp512  |                      1055.06 |             1054.59 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 1 | Yes              | pp512  |                       104.92 |              105.16 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 2 | Yes              | pp512  |                       183.46 |              183.79 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 4 | Yes              | pp512  |                       310.87 |              311.32 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 8 | Yes              | pp512  |                       428.24 |              428.55 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                16 | Yes              | pp512  |                       751.96 |              745.15 |      0.99 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 1 | Yes              | pp512  |                       111.02 |              112.97 |      1.02 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 2 | Yes              | pp512  |                       187.88 |              187.96 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 4 | Yes              | pp512  |                       310.83 |              310.76 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 8 | Yes              | pp512  |                       419.33 |              419.70 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                16 | Yes              | pp512  |                       712.21 |              710.81 |      1.00 |
| llama 7B IQ2_XXS - 2.0625 bpw |                 1 | Yes              | pp512  |                        97.00 |               98.26 |      1.01 |
| llama 7B IQ2_XXS - 2.0625 bpw |                 2 | Yes              | pp512  |                       172.58 |              172.33 |      1.00 |
| llama 7B IQ2_XXS - 2.0625 bpw |                 4 | Yes              | pp512  |                       303.42 |              303.08 |      1.00 |
| llama 7B IQ2_XXS - 2.0625 bpw |                 8 | Yes              | pp512  |                       400.71 |              400.61 |      1.00 |
| llama 7B IQ2_XXS - 2.0625 bpw |                16 | Yes              | pp512  |                       893.39 |              893.66 |      1.00 |
| llama 7B IQ3_S - 3.4375 bpw   |                 1 | Yes              | pp512  |                        88.64 |               88.71 |      1.00 |
| llama 7B IQ3_S - 3.4375 bpw   |                 2 | Yes              | pp512  |                       165.66 |              165.41 |      1.00 |
| llama 7B IQ3_S - 3.4375 bpw   |                 4 | Yes              | pp512  |                       297.87 |              297.44 |      1.00 |
| llama 7B IQ3_S - 3.4375 bpw   |                 8 | Yes              | pp512  |                       407.58 |              406.90 |      1.00 |
| llama 7B IQ3_S - 3.4375 bpw   |                16 | Yes              | pp512  |                       877.84 |              877.86 |      1.00 |
| llama 7B IQ3_S mix - 3.66 bpw |                 1 | Yes              | pp512  |                        90.23 |               91.60 |      1.02 |
| llama 7B IQ3_S mix - 3.66 bpw |                 2 | Yes              | pp512  |                       166.56 |              166.50 |      1.00 |
| llama 7B IQ3_S mix - 3.66 bpw |                 4 | Yes              | pp512  |                       288.52 |              288.47 |      1.00 |
| llama 7B IQ3_S mix - 3.66 bpw |                 8 | Yes              | pp512  |                       378.63 |              378.59 |      1.00 |
| llama 7B IQ3_S mix - 3.66 bpw |                16 | Yes              | pp512  |                       904.70 |              906.42 |      1.00 |
| llama 7B IQ3_XS - 3.3 bpw     |                 1 | Yes              | pp512  |                        96.00 |               96.19 |      1.00 |
| llama 7B IQ3_XS - 3.3 bpw     |                 2 | Yes              | pp512  |                       172.65 |              173.30 |      1.00 |
| llama 7B IQ3_XS - 3.3 bpw     |                 4 | Yes              | pp512  |                       298.39 |              298.77 |      1.00 |
| llama 7B IQ3_XS - 3.3 bpw     |                 8 | Yes              | pp512  |                       415.49 |              416.06 |      1.00 |
| llama 7B IQ3_XS - 3.3 bpw     |                16 | Yes              | pp512  |                       951.10 |              951.24 |      1.00 |
| llama 7B IQ3_XXS - 3.0625 bpw |                 1 | Yes              | pp512  |                       102.13 |              102.09 |      1.00 |
| llama 7B IQ3_XXS - 3.0625 bpw |                 2 | Yes              | pp512  |                       180.27 |              180.11 |      1.00 |
| llama 7B IQ3_XXS - 3.0625 bpw |                 4 | Yes              | pp512  |                       301.14 |              300.43 |      1.00 |
