| Model                         |   Microbatch size | FlashAttention   | Test   |   t/s master |   t/s pr/mmvq-rdna4 |   Speedup |
|:------------------------------|------------------:|:-----------------|:-------|-------------:|--------------------:|----------:|
| llama 7B IQ1_S - 1.5625 bpw   |                 1 | Yes              | pp512  |       143.80 |              147.66 |      1.03 |
| llama 7B IQ1_S - 1.5625 bpw   |                 2 | Yes              | pp512  |       244.20 |              243.48 |      1.00 |
| llama 7B IQ1_S - 1.5625 bpw   |                 4 | Yes              | pp512  |       398.70 |              396.41 |      0.99 |
| llama 7B IQ1_S - 1.5625 bpw   |                 8 | Yes              | pp512  |       521.21 |              517.72 |      0.99 |
| llama 7B IQ1_S - 1.5625 bpw   |                16 | Yes              | pp512  |      1056.55 |             1054.25 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 1 | Yes              | pp512  |        92.91 |               92.74 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 2 | Yes              | pp512  |       167.14 |              166.92 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 4 | Yes              | pp512  |       293.25 |              293.13 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                 8 | Yes              | pp512  |       408.81 |              408.11 |      1.00 |
| llama 7B IQ2_S - 2.5 bpw      |                16 | Yes              | pp512  |       695.74 |              696.09 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 1 | Yes              | pp512  |        95.82 |               96.84 |      1.01 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 2 | Yes              | pp512  |       169.97 |              169.79 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 4 | Yes              | pp512  |       292.06 |              292.16 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                 8 | Yes              | pp512  |       397.56 |              397.67 |      1.00 |
| llama 7B IQ2_XS - 2.3125 bpw  |                16 | Yes              | pp512  |       655.90 |              657.87 |      1.00 |
| llama 7B IQ2_XXS - 2.0625 bpw |                 1 | Yes              | pp512  |        98.31 |               99.31 |      1.01 |
